User_Rating_Count,Price,Size,Update_Gap,Great_App,Subtitle_Present,Price_Free,Description_Length,Genre_Adventure,Genre_Family,Language_EN,Languages_Count,In_App_Count,In_App_Max
51383.0,0.0,118840320.0,277689600000000000,0,1,1,2503,0,0,1,9,8,99.99
1250.0,0.99,30252032.0,238636800000000000,0,0,0,945,0,0,1,1,0,0.0
46.0,0.99,42488832.0,208656000000000000,0,0,0,1076,0,0,1,1,0,0.0
38.0,0.0,10133504.0,107308800000000000,0,0,1,156,0,0,1,1,0,0.0
136.0,0.0,61472768.0,149904000000000000,0,0,1,2452,0,0,1,1,10,4.99
1312.0,2.99,63946752.0,273888000000000000,1,1,0,1033,0,0,1,1,3,1.99
380.0,0.0,37152386.0,6912000000000000,0,0,1,1869,0,0,1,1,0,0.0
2205.0,0.0,34355200.0,267580800000000000,0,1,1,246,0,0,1,5,5,1.99
1900.0,0.0,39472128.0,288662400000000000,0,1,1,785,0,0,1,1,0,0.0
22149.0,0.0,112579584.0,283219200000000000,1,1,1,4056,0,0,1,13,1,2.49
13.0,0.99,10514432.0,163728000000000000,0,0,0,3103,0,0,1,1,0,0.0
38.0,0.0,128826368.0,276566400000000000,0,1,1,639,0,0,1,1,5,1.99
217.0,0.0,13305796.0,82857600000000000,0,0,1,1128,0,0,1,1,0,0.0
997.0,3.99,38358016.0,231984000000000000,0,0,0,968,0,0,1,1,0,0.0
2171.0,0.0,71461888.0,241920000000000000,0,0,1,2995,0,0,1,11,0,0.0
55.0,0.0,925334.0,259200000000000,0,0,1,458,0,0,1,1,0,0.0
914.0,0.0,14018005.0,5529600000000000,0,0,1,2778,0,0,1,1,0,0.0
1460.0,0.99,26494976.0,203212800000000000,0,0,0,3453,0,0,1,3,0,0.0
1249.0,0.99,93254656.0,219369600000000000,1,1,0,954,0,0,1,1,5,39.99
861.0,0.0,5682435.0,-9244800000000000,0,0,1,1274,0,0,1,5,0,0.0
3293.0,0.0,16161543.0,17107200000000000,0,0,1,328,0,0,1,1,4,1.99
10.0,0.99,51822592.0,78192000000000000,1,0,0,1756,0,0,1,1,0,0.0
361.0,0.0,15421440.0,107308800000000000,0,0,1,891,0,0,1,2,0,0.0
24.0,9.99,17991680.0,204422400000000000,0,0,0,800,0,0,1,1,0,0.0
258.0,0.0,19264702.0,44323200000000000,0,0,1,1458,0,0,1,1,10,11.99
725.0,3.99,103183360.0,276134400000000000,1,0,0,3449,0,0,1,1,0,0.0
56.0,0.0,10132718.0,0,0,0,1,505,0,0,1,1,0,0.0
60.0,0.0,3892224.0,238118400000000000,1,1,1,632,0,0,1,1,0,0.0
298.0,0.0,24436634.0,40867200000000000,0,0,1,3086,0,0,1,2,0,0.0
12661.0,0.0,62133248.0,192067200000000000,0,0,1,1451,0,0,1,1,6,99.99
93.0,0.0,6281433.0,44755200000000000,0,0,1,921,0,0,1,1,0,0.0
100.0,2.99,47011298.0,9849600000000000,0,0,0,1017,0,0,1,7,0,0.0
3673.0,0.0,53997568.0,223171200000000000,0,1,1,2047,0,0,1,8,4,7.99
3298.0,2.99,50094080.0,213580800000000000,0,1,0,1827,0,0,1,8,3,7.99
354.0,4.99,42478592.0,257126400000000000,0,1,0,836,0,0,1,1,0,0.0
481.0,0.0,30674388.0,0,0,0,1,844,0,0,1,1,0,0.0
24.0,0.0,17375232.0,142214400000000000,1,0,1,458,0,0,1,1,0,0.0
10.0,0.0,1503232.0,119923200000000000,1,0,1,1897,0,0,1,1,0,0.0
8861.0,0.0,65256448.0,229219200000000000,0,1,1,1223,0,0,1,9,9,16.99
663.0,0.0,19929855.0,23846400000000000,0,0,1,1682,0,0,1,1,3,0.99
296.0,0.0,27007974.0,0,0,0,1,852,0,0,1,1,0,0.0
39.0,2.99,36168704.0,220752000000000000,1,0,0,2559,0,0,1,1,0,0.0
403.0,0.0,19490740.0,17107200000000000,0,0,1,704,0,0,1,4,4,5.99
5164.0,0.0,208402432.0,302227200000000000,0,1,1,3256,0,0,1,4,10,19.99
139.0,0.0,10950039.0,64195200000000000,0,0,1,560,0,0,1,3,0,0.0
15.0,0.0,2686976.0,163296000000000000,0,0,1,290,0,0,1,2,0,0.0
515.0,0.0,28962816.0,279244800000000000,0,0,1,887,0,0,1,2,1,0.99
197.0,0.0,12941681.0,44668800000000000,0,0,1,3130,0,0,1,3,0,0.0
26.0,0.0,112240640.0,275097600000000000,1,0,1,2307,0,0,1,2,4,11.99
11125.0,4.99,812956672.0,243561600000000000,0,1,0,3742,0,0,1,6,5,9.99
660.0,1.99,154198016.0,255139200000000000,0,1,0,4084,0,0,1,10,0,0.0
4516.0,4.99,594029568.0,224640000000000000,1,0,0,2181,0,0,1,1,10,7.99
12.0,0.99,66524160.0,224553600000000000,0,1,0,1600,0,0,1,1,0,0.0
23.0,0.0,1218106.0,0,0,0,1,320,0,0,1,1,0,0.0
889.0,4.99,32216064.0,259113600000000000,1,0,0,1909,0,0,1,1,0,0.0
1719.0,0.0,45790208.0,239760000000000000,0,1,1,2563,0,0,1,2,4,0.99
88.0,0.0,49774293.0,14688000000000000,0,0,1,704,0,0,1,4,4,5.99
28.0,0.0,15812315.0,0,0,0,1,1448,0,0,1,8,0,0.0
26.0,0.0,26655870.0,51062400000000000,0,0,1,642,0,0,1,1,0,0.0
22.0,0.99,33515520.0,221184000000000000,0,0,0,785,0,0,1,9,0,0.0
6983.0,2.99,275684352.0,137376000000000000,1,0,0,1785,0,0,1,1,0,0.0
12.0,0.0,61551616.0,276739200000000000,1,0,1,923,0,0,1,6,4,5.99
2492.0,0.0,40911291.0,57628800000000000,0,0,1,723,0,0,1,1,1,0.99
66.0,0.0,49209886.0,16070400000000000,0,0,1,1129,0,0,1,1,4,5.99
1920.0,4.99,252247040.0,220147200000000000,0,1,0,3655,0,0,1,5,1,0.99
2820.0,0.99,113908373.0,65145600000000000,1,0,0,2064,0,0,1,1,5,1.99
93.0,0.0,5017600.0,119145600000000000,0,0,1,99,0,0,1,2,0,0.0
303.0,0.0,12118016.0,261619200000000000,0,0,1,1108,0,0,1,1,1,0.99
615.0,0.0,8312661.0,66700800000000000,0,0,1,1561,0,0,1,3,1,0.99
36217.0,0.99,50085888.0,129772800000000000,1,0,0,1571,0,0,1,1,7,2.99
124.0,0.99,25516032.0,245462400000000000,0,1,0,1601,0,0,1,1,0,0.0
59.0,6.99,57085952.0,282614400000000000,1,1,0,2616,0,0,1,1,0,0.0
113.0,0.0,34477056.0,309744000000000000,0,0,1,1498,0,0,1,1,10,3.99
2002.0,0.0,133463040.0,282355200000000000,0,1,1,741,0,0,1,9,6,99.99
74.0,0.0,6414161.0,32313600000000000,0,0,1,1388,0,0,1,1,10,9.99
12136.0,0.0,40485929.0,15379200000000000,0,0,1,379,0,0,1,1,1,0.99
832.0,2.99,191513600.0,269481600000000000,0,1,0,4086,0,0,1,1,1,0.99
18605.0,0.99,32022528.0,126403200000000000,0,0,0,961,0,0,1,1,2,0.99
94.0,0.0,28015888.0,3888000000000000,0,0,1,401,0,0,1,1,0,0.0
17551.0,0.0,50556928.0,126921600000000000,1,0,1,1546,0,0,1,1,8,2.99
1194.0,3.99,50015232.0,236131200000000000,1,0,0,2906,0,0,1,1,0,0.0
32.0,0.0,11968146.0,0,0,0,1,148,0,0,1,1,0,0.0
37.0,0.99,16351232.0,184636800000000000,0,0,0,2036,0,0,1,1,0,0.0
